Tile,Aerial 2012 GeoTIFF,Aerial 2012 MrSID,Aerial 2016 GeoTIFF,Aerial 2016 MrSID3,Aerial 2016 MrSID4,DEM 2016,Point cloud 2016 (las),Aerial 2019 GeoTIFF,Aerial 2023 GeoTIFF,Aerial 2023 MrSID3,Aerial 2023 MrSID4,DEM 2023,Point cloud 2023 (laz)
930675_se,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/930675.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/930675.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/930675_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/930675_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/930675_se.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/930675_se.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/930675_se.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/930675_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/930675_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/930675_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/930675_se.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/930675_se.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/930675_se.zip
935645_ne,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/935645.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/935645.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/935645_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/935645_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/935645_ne.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/935645_ne.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/935645_ne.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/935645_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/935645_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/935645_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/935645_ne.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/935645_ne.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/935645_ne.zip
935645_nw,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/935645.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/935645.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/935645_nw.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/935645_nw.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/935645_nw.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/935645_nw.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/935645_nw.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/935645_nw.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/935645_nw.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/935645_nw.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/935645_nw.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/935645_nw.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/935645_nw.zip
935645_se,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/935645.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/935645.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/935645_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/935645_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/935645_se.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/935645_se.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/935645_se.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/935645_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/935645_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/935645_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/935645_se.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/935645_se.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/935645_se.zip
935645_sw,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/935645.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/935645.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/935645_sw.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/935645_sw.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/935645_sw.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/935645_sw.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/935645_sw.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/935645_sw.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/935645_sw.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/935645_sw.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/935645_sw.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/935645_sw.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/935645_sw.zip
935650_ne,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/935650.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/935650.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/935650_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/935650_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/935650_ne.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/935650_ne.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/935650_ne.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/935650_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/935650_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/935650_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/935650_ne.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/935650_ne.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/935650_ne.zip
935650_nw,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/935650.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/935650.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/935650_nw.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/935650_nw.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/935650_nw.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/935650_nw.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/935650_nw.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/935650_nw.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/935650_nw.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/935650_nw.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/935650_nw.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/935650_nw.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/935650_nw.zip
935650_se,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/935650.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/935650.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/935650_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/935650_se.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/935650_se.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/935650_se.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/935650_se.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/935650_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/935650_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/935650_se.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/935650_se.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/935650_se.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/935650_se.zip
935650_sw,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/935650.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/935650.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/935650_sw.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/935650_sw.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/935650_sw.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/935650_sw.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/935650_sw.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/935650_sw.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/935650_sw.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/935650_sw.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/935650_sw.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/935650_sw.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/935650_sw.zip
935655_ne,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/tif/935655.zip,https://magic.lib.uconn.edu/magic_8/raster/37800/aerial/2012/Tiles/sid/935655.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/Tif/935655_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid3/935655_ne.zip,https://cteco.uconn.edu/download/aerial/2016/tiles/sid4/935655_ne.zip,https://cteco.uconn.edu/download/DEM/2016/tiles/935655_ne.zip,https://cteco.uconn.edu/download/LAS/2016/tiles/935655_ne.zip,https://cteco.uconn.edu/download/aerial/2019/tiles/tif/935655_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/tif/935655_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid3/935655_ne.zip,https://cteco.uconn.edu/download/aerial/2023/tiles/sid4/935655_ne.zip,https://cteco.uconn.edu/download/DEM/2023/tiles/935655_ne.zip,https://cteco.uconn.edu/download/LAZ/2023/tiles/935655_ne.zip
